describe,evaluate,introduce,movie_name,serial_number,star
张艺谋最好的电影。,622043人评价,"导演: 张艺谋 Yimou Zhang 主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994 / 中国大陆 中国香港 / 剧情 历史 家庭",活着,28,9.3
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,591765人评价,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci 主演: 尊龙 John Lone / 陈...,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史",末代皇帝,29,9.3
死亡不是真的逝去，遗忘才是永恒的消亡。,1192905人评价,"导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina 主演: ...,2017 / 美国 / 喜剧 动画 奇幻 音乐",寻梦环游记,30,9.1
Tomorrow is another day.,528650人评价,"导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费...,1939 / 美国 / 剧情 历史 爱情 战争",乱世佳人,31,9.3
凝视卑弱生命，用电影改变命运。,752841人评价,"导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018 / 黎巴嫩 法国 美国 / 剧情",何以为家,32,9.1
史诗的终章。,583211人评价,"导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险",指环王3：王者无敌,33,9.2
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,1211802人评价,"导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016 / 印度 / 剧情 传记 运动 家庭",摔跤吧！爸爸,34,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,1027162人评价,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德...,2009 / 美国 / 剧情 喜剧 动画 冒险",飞屋环游记,35,9.0
瑰丽壮观、无人能及的冒险之旅。,1089394人评价,"导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险",少年派的奇幻漂流,36,9.1
童话世界的开端。,793052人评价,"导演: Chris Columbus 主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001 / 美国 英国 / 奇幻 冒险",哈利·波特与魔法石,37,9.1
1957年的理想主义。 ,353262人评价,"导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957 / 美国 / 剧情",十二怒汉,38,9.4
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,491225人评价,"导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013 / 韩国 / 剧情",素媛,39,9.3
对敌人的仁慈，就是对自己残忍。,474930人评价,"导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000 / 中国大陆 / 剧情 喜剧",鬼子来了,40,9.3
带着心爱的人在天空飞翔。,757797人评价,"导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004 / 日本 / 动画 奇幻 冒险",哈尔的移动城堡,41,9.1
